,Show,Date,Doors,Location,Address,Link
161,The Hooters,"Fri, November 04, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/436704-the-hooters
162,AFI,"Fri, November 04, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/405823-afi
163,Superorganism,"Sat, November 05, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/428081-superorganism
164,The Hooters,"Sat, November 05, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/436708-the-hooters
165,Travis,"Mon, November 07, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/427629-travis
166,Paul Reiser,"Fri, November 11, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/428813-paul-reiser
167,Soccer Mommy,"Fri, November 11, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433427-soccer-mommy
168,Black Lips,"Fri, November 11, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/431615-black-lips
169,Alex G,"Fri, November 18, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/435659-alex-g
170,Janis Ian,"Sat, November 19, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/435534-janis-ian
171,Alex G,"Sat, November 19, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/435661-alex-g
172,W.A.S.P.,"Sun, November 20, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/422859-w-a-s-p
173,The Menzingers,"Fri, November 25, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/434830-the-menzingers
174,The Menzingers,"Sat, November 26, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/437711-the-menzingers
175,"A Philadelphia Tribute to The Last Waltz, a Benefit for Make The World Better Foundation ","Sat, November 26, 2022 at 09:00 PM",08:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/409702-a-philadelphia-tribute-to-the-last-waltz-a-benefit-for-make-the-world-better-foundation
176,POND,"Thu, December 01, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/435761-pond
177,Mclusky,"Sat, December 03, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/430346-mclusky
178,Yung Lean,"Tue, December 06, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430945-yung-lean
179,Steve Hackett: Genesis Revisited,"Thu, December 08, 2022 at 07:30 PM",06:30 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/433402-steve-hackett-genesis-revisited
180,DCappella,"Fri, December 09, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/433091-dcappella
181,Shake It Off - Taylor Swift Dance Party,"Sat, December 10, 2022 at 09:00 PM",09:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/432046-shake-it-off-taylor-swift-dance-party
182,Bonny Light Horseman,"Sun, December 11, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/437788-bonny-light-horseman
183,"Rich Vos, Jim Florentine, Don Jamieson","Fri, December 16, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/435859-rich-vos-jim-florentine-don-jamieson
184,DCappella,"Sun, December 18, 2022 at 07:30 PM",06:30 PM,Santander Performing Arts Center,"700 Penn St., Reading, PA 19603",https://www.bowerypresents.com/greater-philly/shows/detail/433826-dcappella
185,Carrie Underwood,"Wed, February 22, 2023 at 07:30 PM",06:30 PM,Wells Fargo Center,"3601 S Broad St, Philadelphia, PA 19148",https://www.bowerypresents.com/greater-philly/shows/detail/434719-carrie-underwood
186,Hits The Musical,"Fri, March 10, 2023 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/437027-hits-the-musical
187,EELS,"Sat, June 24, 2023 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/408204-eels
188,Eric Johnson,"Sat, September 16, 2023 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/408186-eric-johnson
189,--POSTPONED-- Ilana Glazer,TBD,,Merriam Theater,"250 South Broad Street, Philadelphia, PA 19102",https://www.bowerypresents.com/greater-philly/shows/detail/390909-postponed-ilana-glazer
190,Justin Bieber,TBD,,Lincoln Financial Field,"One Lincoln Financial Field Way, Philadelphia, PA 19147",https://www.bowerypresents.com/greater-philly/shows/detail/391403-justin-bieber
191,Brandy Clark,TBD,,Boot & Saddle,"1131 S. Broad St, Philadelphia, PA 19147",https://www.bowerypresents.com/greater-philly/shows/detail/392413-brandy-clark
