,Show,Date,Doors,Location,Address,Link
63,Aunt Mary Pat,"Fri, July 22, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/427637-aunt-mary-pat
64,Camp Cope,"Fri, July 22, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/432513-camp-cope
65,Tones and I,"Sat, July 23, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/425907-tones-and-i
66,Mitski,"Sun, July 24, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/414031-mitski
67,Parcels In Concert,"Tue, July 26, 2022 at 08:00 PM",07:00 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/429067-parcels-in-concert
68,18 Visions,"Wed, July 27, 2022 at 12:00 AM",10:49 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/434938-18-visions
69,Cobra Man,"Thu, July 28, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/426583-cobra-man
70,Polo & Pan,"Thu, July 28, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430715-polo-pan
71,Don McLean,"Fri, July 29, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/429906-don-mclean
72,Aaron Lewis & The Stateliners ,"Sat, July 30, 2022 at 08:00 PM",07:00 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/424556-aaron-lewis-the-stateliners
73,Atmosphere and Iration,"Tue, August 02, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/431008-atmosphere-and-iration
74,Polyphia,"Thu, August 04, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433968-polyphia
75,Elder,"Thu, August 04, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/429962-elder
76,Roger Waters,"Fri, August 05, 2022 at 07:00 PM",07:00 PM,Wells Fargo Center,"3601 S Broad St, Philadelphia, PA 19148",https://www.bowerypresents.com/greater-philly/shows/detail/391172-roger-waters
77,Cave In,"Fri, August 05, 2022 at 08:00 PM",07:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433843-cave-in
78,Boz Scaggs,"Fri, August 05, 2022 at 09:00 PM",08:00 PM,Ocean Casino Resort,"500 Boardwalk, Atlantic City, NJ 08401",https://www.bowerypresents.com/greater-philly/shows/detail/422533-boz-scaggs
79,Roger Waters ,"Sat, August 06, 2022 at 07:00 PM",07:00 PM,Wells Fargo Center,"3601 S Broad St, Philadelphia, PA 19148",https://www.bowerypresents.com/greater-philly/shows/detail/393930-roger-waters
80,Hiatus Kaiyote,"Sun, August 07, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433982-hiatus-kaiyote
81,Rolling Blackouts Coastal Fever,"Sun, August 07, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/424791-rolling-blackouts-coastal-fever
82,Come Together: A Tribute Down The Beatles Abbey Road,"Thu, August 11, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/435254-come-together-a-tribute-down-the-beatles-abbey-road
83,Wavves,"Fri, August 12, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/431736-wavves
84,Leon Bridges,"Sat, August 13, 2022 at 07:30 PM",06:30 PM,Skyline Stage @ the Mann,"52nd and Parkside Ave. Fairmount Park, Philadelphia, PA 19131",https://www.bowerypresents.com/greater-philly/shows/detail/426770-leon-bridges
85,The Emo Band: Emo + Pop Punk Live Band Karaoke Party,"Sat, August 13, 2022 at 10:00 PM",09:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433267-the-emo-band-emo-pop-punk-live-band-karaoke-party
86,Joyce Manor,"Sun, August 14, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/434831-joyce-manor
87,Sumac,"Sun, August 14, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/434936-sumac
88,The Dear Hunter,"Tue, August 16, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/419140-the-dear-hunter
89,Ted Nugent,"Wed, August 17, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/392580-ted-nugent
90,Murder By Death,"Thu, August 18, 2022 at 07:00 PM",06:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430730-murder-by-death
91,The Wallflowers,"Thu, August 18, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/427932-the-wallflowers
92,Dead Ass with Khadeen & Devale LIVE!,"Fri, August 19, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433120-dead-ass-with-khadeen-devale-live
93,Blondie + Special Guest The Damned,"Sat, August 20, 2022 at 07:00 PM",06:00 PM,Xcite Center at Parx Casino,"2999 Street Road, Bensalem, PA 19020",https://www.bowerypresents.com/greater-philly/shows/detail/427417-blondie-special-guest-the-damned
94,Gilberto Santa Rosa,"Sat, August 20, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/428359-gilberto-santa-rosa
95,Faye Webster,"Sat, August 20, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/431966-faye-webster
96,Mir Fontaine,"Sat, August 20, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/434834-mir-fontaine
97,Ted Nugent,"Sun, August 21, 2022 at 07:30 PM",06:30 PM,Santander Performing Arts Center,"700 Penn St., Reading, PA 19603",https://www.bowerypresents.com/greater-philly/shows/detail/433820-ted-nugent
